zipcode,major_city,radius_in_miles,population,population_density,housing_units,occupied_housing_units,median_home_value,median_household_income
85308,Glendale,4.0,63876,3682.0,26234,24405,198900.0,68796.0
78596,Weslaco,10.0,63844,1076.0,21949,18076,67600.0,34297.0
78666,San Marcos,11.0,63836,362.0,24433,22874,125000.0,33827.0
60619,Chicago,2.0,63825,10601.0,31893,26722,152700.0,34977.0
33311,Fort Lauderdale,2.0,63786,6165.0,25377,21875,119300.0,30738.0
11213,Brooklyn,0.8522727272727273,63767,58448.0,24974,23142,582300.0,34794.0
08753,Toms River,4.0,63678,2759.0,26159,23580,294000.0,76202.0
00987,Carolina,7.0,63661,2565.0,25557,22689,,
33023,Hollywood,3.0,63576,6597.0,21409,19733,138900.0,43830.0
33015,Hialeah,2.0,63544,10909.0,22552,20916,176400.0,51076.0
11215,Brooklyn,1.0,63488,29148.0,30073,28077,913200.0,95654.0
60402,Berwyn,3.0,63448,12036.0,23339,21338,183800.0,53402.0
06902,Stamford,4.0,63406,6229.0,25273,23502,437300.0,63582.0
10701,Yonkers,3.0,63393,15007.0,25511,23124,370900.0,43767.0
92677,Laguna Niguel,4.0,63297,3791.0,25554,24425,662200.0,99101.0
78542,Edinburg,13.0,63293,373.0,16056,14746,72800.0,29878.0
33157,Miami,3.0,63226,4266.0,22274,20632,224800.0,59768.0
75002,Allen,5.0,63140,1699.0,21373,20708,186100.0,91632.0
48180,Taylor,4.0,63131,2675.0,26422,24370,77800.0,41933.0
19111,Philadelphia,3.0,63090,13059.0,25613,24161,179300.0,44123.0
97006,Beaverton,3.0,63036,5365.0,25287,23952,240700.0,60407.0
07002,Bayonne,3.0,63031,10801.0,27802,25240,332700.0,55608.0
90660,Pico Rivera,4.0,62928,8120.0,17106,16564,330000.0,57605.0
96706,Ewa Beach,3.0,62730,3661.0,18319,17331,435500.0,86093.0
90640,Montebello,3.0,62549,7367.0,19785,19027,385200.0,47438.0
11706,Bay Shore,6.0,62543,3670.0,21776,19005,329200.0,75775.0
84015,Clearfield,5.0,62494,2964.0,19887,18944,168500.0,58745.0
20878,Gaithersburg,4.0,62446,2860.0,23155,22268,525300.0,116347.0
94509,Antioch,4.0,62439,3800.0,22500,20740,203300.0,53953.0
80015,Aurora,4.0,62432,4367.0,21996,21240,241500.0,80599.0
90042,Los Angeles,2.0,62430,13444.0,21018,19892,382100.0,50996.0
90037,Los Angeles,1.0,62276,21941.0,17192,15869,271400.0,26796.0
30096,Duluth,5.0,62265,2721.0,26268,24244,178600.0,49883.0
95123,San Jose,3.0,62228,7481.0,22035,21123,502200.0,87180.0
90004,Los Angeles,2.0,62180,20400.0,24278,22547,776300.0,37976.0
30062,Marietta,5.0,62136,2408.0,24275,22958,250300.0,86352.0
91770,Rosemead,3.0,62097,9668.0,17258,16588,414000.0,47373.0
92562,Murrieta,8.0,62079,568.0,22069,20415,290900.0,75053.0
92801,Anaheim,3.0,62068,9872.0,18604,17515,335400.0,47715.0
44256,Medina,12.0,62039,466.0,24740,23331,198400.0,71378.0
11210,Brooklyn,1.0,62008,37785.0,22476,20653,485500.0,55429.0
95624,Elk Grove,7.0,61989,1409.0,19978,18974,261900.0,77652.0
17603,Lancaster,5.0,61973,2079.0,26317,24818,148700.0,44752.0
23462,Virginia Beach,3.0,61973,5292.0,26087,24396,210900.0,56617.0
30135,Douglasville,9.0,61912,739.0,22875,21025,149400.0,60035.0
21740,Hagerstown,9.0,61859,886.0,25858,23317,171200.0,42979.0
92201,Indio,3.0,61827,2729.0,22207,18219,157100.0,41335.0
94541,Hayward,4.0,61635,8296.0,21989,20609,330800.0,56656.0
87114,Albuquerque,6.0,61623,2894.0,24618,23251,209300.0,65277.0
77494,Katy,6.0,61600,1511.0,20283,19282,262100.0,126425.0
92627,Costa Mesa,2.0,61510,9688.0,22839,21761,548500.0,58167.0
34953,Port Saint Lucie,4.0,61494,2584.0,23419,20387,127200.0,51167.0
91732,El Monte,3.0,61386,13301.0,15347,14700,340600.0,42465.0
76063,Mansfield,6.0,61361,1184.0,20899,19956,179600.0,92052.0
10009,New York,0.7954545454545454,61347,99492.0,31709,30182,672800.0,59929.0
95127,San Jose,5.0,61325,4713.0,16416,15741,419600.0,68379.0
80219,Denver,3.0,61296,8166.0,20448,19171,151000.0,39659.0
78501,Mcallen,3.0,61219,3991.0,22489,20235,91200.0,31214.0
94538,Fremont,5.0,61148,3715.0,21739,20759,480700.0,85945.0
48197,Ypsilanti,7.0,61132,1459.0,26652,24488,153700.0,48772.0
93905,Salinas,2.0,61087,6564.0,13157,12564,203400.0,41607.0
00693,Vega Baja,6.0,61038,1552.0,25884,21783,,
02301,Brockton,4.0,61025,4908.0,23673,22044,238500.0,44144.0
10023,New York,0.7386363636363636,60998,124357.0,39402,34383,872500.0,103534.0
75067,Lewisville,4.0,60982,4588.0,25790,24262,149100.0,56555.0
53215,Milwaukee,2.0,60953,10770.0,21135,19223,119000.0,33837.0
94015,Daly City,3.0,60927,10576.0,20678,19778,569500.0,76978.0
85204,Mesa,3.0,60885,6147.0,22611,20016,114100.0,42768.0
07093,West New York,0.9659090909090909,60884,50606.0,24857,23325,331400.0,47299.0
11432,Jamaica,1.0,60809,28295.0,19518,18448,519000.0,50450.0
07047,North Bergen,3.0,60773,11838.0,23912,22062,305600.0,52908.0
11717,Brentwood,3.0,60745,5560.0,14217,13670,289600.0,69405.0
95014,Cupertino,5.0,60717,2255.0,22035,21122,1000001.0,127870.0
19134,Philadelphia,2.0,60675,17295.0,23000,20080,75700.0,24291.0
46307,Crown Point,9.0,60619,691.0,23091,21983,187000.0,69071.0
89031,North Las Vegas,3.0,60589,6371.0,21485,19191,139500.0,62811.0
21122,Pasadena,6.0,60576,1935.0,22896,21643,308000.0,88880.0
23322,Chesapeake,15.0,60473,401.0,19878,19301,331900.0,96091.0
10128,New York,0.9659090909090909,60453,128441.0,35240,32306,1000001.0,96296.0
06010,Bristol,4.0,60448,2290.0,26996,25305,204400.0,57632.0
95758,Elk Grove,4.0,60435,4711.0,21347,20231,239800.0,70616.0
76244,Keller,4.0,60388,3514.0,20228,19194,174300.0,93705.0
30127,Powder Springs,8.0,60347,1189.0,21634,19921,161800.0,71164.0
91950,National City,2.0,60322,7938.0,17167,15869,263500.0,37987.0
23454,Virginia Beach,7.0,60283,1970.0,24246,23044,289400.0,64721.0
91343,North Hills,2.0,60254,10193.0,17619,16802,380400.0,54166.0
94501,Alameda,4.0,60212,7593.0,27087,25025,607000.0,69076.0
44060,Mentor,7.0,60211,1563.0,26030,24555,166600.0,64446.0
85301,Glendale,2.0,60161,6489.0,23846,19748,74100.0,27267.0
21215,Baltimore,2.0,60161,8831.0,26995,23269,131200.0,34471.0
07305,Jersey City,3.0,60104,10353.0,24433,21771,315800.0,49894.0
11691,Far Rockaway,2.0,60035,21185.0,21160,19518,448200.0,39409.0
60073,Round Lake,5.0,60002,2927.0,19344,18108,157500.0,64086.0
94806,San Pablo,3.0,59861,7183.0,20531,18964,237800.0,52976.0
76028,Burleson,9.0,59744,774.0,22307,21181,136800.0,69676.0
10027,New York,1.0,59707,68513.0,25071,22839,716100.0,37872.0
91702,Azusa,9.0,59705,353.0,16224,15455,301100.0,55495.0
60016,Des Plaines,3.0,59690,5618.0,25330,23605,217900.0,59533.0
28277,Charlotte,4.0,59664,2550.0,25176,23801,274700.0,91989.0
90731,San Pedro,4.0,59662,6492.0,23914,22044,440700.0,50210.0
30047,Lilburn,5.0,59660,2153.0,21153,19822,175600.0,67395.0
43055,Newark,12.0,59605,528.0,26781,24380,121200.0,41981.0
43130,Lancaster,12.0,59570,368.0,25262,23250,134600.0,43234.0
78130,New Braunfels,8.0,59546,645.0,24291,21864,152000.0,54672.0
02148,Malden,2.0,59503,11797.0,25191,23701,325800.0,53798.0
92707,Santa Ana,2.0,59492,11832.0,13564,12684,315000.0,57384.0
15601,Greensburg,11.0,59483,690.0,26798,24887,152400.0,52719.0
93906,Salinas,3.0,59461,4548.0,17788,16763,254400.0,56358.0
30052,Loganville,8.0,59451,680.0,21387,19938,156400.0,63338.0
95608,Carmichael,5.0,59418,4556.0,27325,25311,301000.0,54322.0
78520,Brownsville,7.0,59408,1627.0,19417,17566,78500.0,29835.0
75040,Garland,3.0,59406,3795.0,19195,18164,113000.0,54664.0
93030,Oxnard,42.0,59372,4282.0,15395,14903,342600.0,55271.0
23452,Virginia Beach,4.0,59321,4052.0,23662,22599,239100.0,61522.0
10312,Staten Island,3.0,59304,7723.0,22155,21018,467300.0,85324.0
10024,New York,4.0,59283,69106.0,33952,30836,1000001.0,109956.0
37075,Hendersonville,9.0,59256,998.0,24414,22865,209600.0,63464.0
19720,New Castle,8.0,59250,1597.0,22765,21373,190700.0,54233.0
90006,Los Angeles,1.0,59185,30829.0,20332,18617,392100.0,30961.0
92630,Lake Forest,3.0,59182,6214.0,20785,20094,476200.0,84871.0
11434,Jamaica,2.0,59129,18256.0,21681,20244,371900.0,59229.0
32210,Jacksonville,6.0,59080,2932.0,27074,23377,115000.0,42365.0
79924,El Paso,5.0,59058,4824.0,21122,20158,96600.0,41009.0
10977,Spring Valley,5.0,59048,5319.0,15891,15078,395200.0,60549.0
33025,Hollywood,2.0,59039,5458.0,24069,21536,157900.0,51822.0
97701,Bend,37.0,58993,87.0,27682,24589,285300.0,53444.0
90813,Long Beach,2.0,58911,18360.0,17896,16425,296200.0,31334.0
