zipcode,population,radius_in_miles,population_density,percent_occupied_units,median_home_value,median_household_income,kmeans_labels
98516,20166,7.0,704.0,0.9331446763353378,253100.0,66466.0,1
32080,20165,10.0,1296.0,0.6475197556278638,293500.0,58648.0,2
55744,20164,22.0,81.0,0.8492956319043276,157900.0,48562.0,0
30017,20160,3.0,1686.0,0.941909294512878,209500.0,78783.0,1
77327,20160,16.0,63.0,0.8486754566348131,79200.0,46936.0,0
91381,20158,6.0,536.0,0.9690420560747663,585900.0,116420.0,1
36360,20157,13.0,111.0,0.8934601410557812,100500.0,41725.0,0
36201,20156,6.0,541.0,0.843628736234924,57700.0,22054.0,0
55075,20152,3.0,3557.0,0.9445021345332871,171000.0,55030.0,0
38242,20151,15.0,109.0,0.8911889596602972,93800.0,32761.0,0
98422,20151,4.0,3017.0,0.9508009153318078,318000.0,82585.0,1
43623,20149,3.0,2996.0,0.9259527006093153,119700.0,45513.0,0
48864,20148,4.0,934.0,0.9361968782043979,197000.0,73424.0,1
37212,20148,1.0,7264.0,0.9230177059276367,407000.0,51435.0,1
32796,20139,6.0,1378.0,0.8570408163265306,95900.0,45507.0,0
78148,20139,2.0,2137.0,0.9393551390990571,139000.0,54691.0,0
44110,20136,2.0,4780.0,0.7718211892442107,63900.0,21764.0,0
10543,20135,3.0,4928.0,0.9328816961485384,598000.0,87316.0,1
33916,20134,3.0,1965.0,0.6975886524822695,73400.0,28235.0,0
61364,20133,14.0,139.0,0.905448193034174,88000.0,43910.0,0
15122,20131,4.0,1597.0,0.9289495976281237,85200.0,45685.0,0
27896,20130,5.0,582.0,0.9454588290729179,157600.0,57331.0,0
31903,20128,3.0,2010.0,0.8491247264770241,71100.0,22063.0,0
73129,20126,3.0,1600.0,0.8623048135243258,47200.0,27198.0,0
72335,20121,11.0,126.0,0.885972339825007,71900.0,31593.0,0
95135,20120,7.0,658.0,0.9560558795605588,758300.0,124288.0,1
6226,20114,3.0,2782.0,0.9239782016348774,168300.0,33723.0,0
49307,20112,12.0,149.0,0.9012980336717645,121300.0,36331.0,0
28139,20111,13.0,115.0,0.8638220120378332,121800.0,40744.0,0
84341,20109,3.0,1638.0,0.9539678057046033,207800.0,47931.0,0
48009,20107,2.0,3980.0,0.9058210600140266,347400.0,98750.0,1
32129,20104,3.0,2701.0,0.8743606435413372,113600.0,40497.0,0
78114,20103,16.0,55.0,0.8901920350560639,137800.0,58024.0,0
75964,20097,16.0,87.0,0.8738520408163265,76900.0,35827.0,0
99516,20095,11.0,468.0,0.9669665448411583,413800.0,142921.0,1
31721,20095,12.0,94.0,0.9375376098206764,158000.0,61026.0,0
60430,20094,3.0,2955.0,0.9478008699855003,182600.0,72754.0,1
14456,20087,9.0,257.0,0.8959193030719853,109200.0,48158.0,0
33426,20082,3.0,3273.0,0.8215117320437041,139900.0,48968.0,0
87701,20081,33.0,12.0,0.8495089238567959,118100.0,29534.0,0
8028,20078,4.0,1311.0,0.9320320179750035,210900.0,63353.0,1
49316,20074,7.0,353.0,0.9439289501590669,183200.0,80434.0,1
80222,20073,2.0,5056.0,0.9357449297971919,254300.0,44300.0,1
32305,20073,13.0,224.0,0.8667187151461075,99600.0,35515.0,0
8536,20073,3.0,2757.0,0.9467407664698391,431900.0,90089.0,1
42633,20065,16.0,46.0,0.8251685838952797,77600.0,28921.0,0
33558,20064,4.0,1155.0,0.9124536178107606,270200.0,71935.0,1
21409,20064,4.0,1434.0,0.9483026690852553,396500.0,107029.0,1
90603,20063,2.0,6136.0,0.9687455401741116,423500.0,90477.0,1
61073,20052,5.0,733.0,0.9463087248322147,174400.0,78285.0,1
34638,20048,6.0,418.0,0.8957152274225445,193300.0,75617.0,1
28012,20048,6.0,733.0,0.9099965249623537,159600.0,52292.0,0
35901,20045,10.0,337.0,0.8732257015928053,99600.0,32213.0,0
97338,20045,12.0,185.0,0.9400314351348084,207300.0,52863.0,0
28630,20041,9.0,334.0,0.9088187888556297,105800.0,41200.0,0
92808,20039,4.0,3943.0,0.9684266383656143,603900.0,105144.0,1
31024,20039,14.0,60.0,0.6724927174365377,135800.0,44379.0,2
94596,20037,2.0,3359.0,0.9206707197489704,727700.0,77173.0,1
32960,20037,2.0,1763.0,0.8019057609930939,119700.0,30832.0,0
27712,20035,5.0,599.0,0.9507008216529724,195300.0,77440.0,1
70427,20033,9.0,136.0,0.8626303468823154,78300.0,29319.0,0
32726,20029,3.0,1640.0,0.8473203157457416,118000.0,36376.0,0
50320,20027,5.0,1073.0,0.9315015974440894,151600.0,53996.0,0
53092,20024,4.0,982.0,0.936433932226518,325400.0,100658.0,1
45237,20021,3.0,3303.0,0.8777659677263504,105300.0,32299.0,0
31548,20020,11.0,358.0,0.8871895264896611,152100.0,55238.0,0
54501,20019,21.0,55.0,0.7362208067940552,142100.0,44554.0,0
8731,20009,8.0,418.0,0.877972027972028,270900.0,64357.0,1
92887,20006,4.0,2226.0,0.9672249494657811,689200.0,125265.0,1
77657,20003,6.0,312.0,0.9240844354018312,129500.0,61609.0,0
24151,20000,11.0,123.0,0.8966545213646903,145600.0,38887.0,0
19061,19997,3.0,2850.0,0.9290788681517158,185600.0,56412.0,0
83835,19990,10.0,187.0,0.8621415125678219,209600.0,56769.0,0
92377,19989,3.0,1958.0,0.9681390296886314,237000.0,79611.0,1
29170,19988,5.0,830.0,0.9226828132277597,125200.0,56415.0,0
77357,19987,8.0,318.0,0.9083082809510795,101000.0,48979.0,0
40014,19986,8.0,363.0,0.9423181324647123,258200.0,85036.0,1
97470,19985,13.0,116.0,0.9289545703338806,149000.0,38270.0,0
33455,19980,8.0,407.0,0.8088097469540768,208600.0,48614.0,0
50702,19970,4.0,2129.0,0.9470279915244787,100900.0,40561.0,0
44057,19961,7.0,399.0,0.9036599763872492,132000.0,50648.0,0
29204,19952,2.0,3088.0,0.8915635796277722,138300.0,32272.0,0
98043,19943,2.0,4886.0,0.9524085896691816,261000.0,58865.0,1
28390,19942,8.0,338.0,0.8305066436210435,106800.0,39413.0,0
44320,19937,3.0,2044.0,0.8708588957055214,78500.0,31559.0,0
68106,19936,2.0,3955.0,0.9257125530624621,124000.0,52559.0,0
73018,19936,12.0,127.0,0.8763757643135075,84400.0,41475.0,0
2492,19931,4.0,2092.0,0.9543484150636684,678500.0,137839.0,1
13204,19931,2.0,4522.0,0.8477430017560169,68800.0,26841.0,0
10567,19929,5.0,900.0,0.9533806283480527,413800.0,105199.0,1
32751,19928,3.0,2836.0,0.8519129627719914,258300.0,71561.0,1
66605,19919,3.0,1996.0,0.9193065602394612,96500.0,44562.0,0
1603,19916,2.0,4412.0,0.9168553459119497,188700.0,48183.0,0
49315,19915,8.0,372.0,0.9486333025221181,178600.0,64696.0,0
2888,19912,3.0,3358.0,0.9452131848351896,197500.0,57659.0,0
6488,19904,6.0,510.0,0.9034209657903421,322400.0,73341.0,1
72223,19890,8.0,332.0,0.9370480142264375,323000.0,78378.0,1
98407,19885,3.0,3536.0,0.9297761748170149,292200.0,66833.0,1
32952,19881,11.0,1607.0,0.8721655918452257,202300.0,64256.0,0
53913,19881,11.0,151.0,0.8913412563667232,151300.0,48276.0,0
12508,19880,5.0,1365.0,0.9370375178501882,247500.0,62792.0,1
49091,19872,9.0,228.0,0.8493290880145554,113000.0,40714.0,0
80904,19867,3.0,2084.0,0.9079615524120421,209700.0,44834.0,0
50703,19863,11.0,212.0,0.9008715862870424,75400.0,33184.0,0
11726,19857,2.0,7732.0,0.9499606608969315,315300.0,73164.0,1
96821,19856,2.0,1721.0,0.9575051405071967,888500.0,110842.0,1
